NBH_NAME,MUN,LIM,HHI,WP,No_sup,Food_banks,LIM_av,HHI_av,polygon_area,population 2011,pop_density,commercial,residential,open area,government and institutional,parks and recreational,resource and industrial,waterbody,total land use,% of Neighbourhood zoned for residential,% of Neighbourhood zoned for supermarket,transport distance km,distance to the nearest Supermarket,no. of supermarkets within 5km,population per km of transit line,region
Stevensville,Fort Erie,7.53%,5.76%,4.35%,0,0,0.470625,0.546489564,85.24525751,4638.00,54.41,0,87,238,0,42,7,57,431,20.18561485,0,20.73,6.3,0,223.7337192,Niagara 
Crystal Beach,Fort Erie,23.08%,16.24%,6.04%,0,1,1.4425,1.540796964,21.87133032,3809.00,174.15,0,94,61,1,19,19,6,200,47,0,6.76,2.48,1,563.4615385,Niagara 
Ridgeway,Fort Erie,9.82%,6.50%,NA,1,0,0.61375,0.616698292,24.38208715,5749.00,235.79,0,198,43,2,20,0,40,303,65.34653465,0,21.08,3.14,1,272.7229602,Niagara 
Fort Erie North,Fort Erie,23.81%,16.36%,11.31%,0,3,1.488125,1.552182163,18.21396126,7563.00,415.23,0,118,128,7,23,12,15,303,38.94389439,0,15.02,2.43,3,503.5286285,Niagara 
Crescent Park & Area,Fort Erie,10.25%,3.77%,7.28%,2,0,0.640625,0.357685009,10.910657,4351.00,398.78,0,146,70,0,5,0,8,229,63.75545852,0,18.82,1.76,3,231.1902232,Niagara 
Fort Erie Lakeshore,Fort Erie,20.05%,11.21%,9.30%,1,0,1.253125,1.063567362,6.181264,3850.00,622.85,3,100,66,1,16,0,1,187,53.47593583,1.604278075,7.08,1.24,3,543.7853107,Niagara 
Grimsby Mountain,Grimsby,9.61%,5.52%,3.23%,0,0,1.511006289,1.133470226,45.866932,1905.00,41.53,0,18,54,0,1,0,6,79,22.78481013,0,,3.3,6,,Niagara 
Casablanca & Area,Grimsby,4.39%,2.26%,4.13%,1,0,0.690251572,0.464065708,9.772815,3973.00,406.54,6,62,38,0,4,6,2,118,52.54237288,5.084745763,,1.59,5,,Niagara 
Grimsby Downtown,Grimsby,8.40%,6.25%,5.95%,3,0,1.320754717,1.283367556,2.81814487,3986.00,1414.41,7,31,18,2,3,3,0,64,48.4375,10.9375,,0.62,6,,Niagara 
Grimsby Lakeside,Grimsby,7.42%,7.91%,6.67%,1,0,1.166666667,1.624229979,1.64925892,2691.00,1631.64,1,62,33,1,4,5,1,107,57.94392523,0.934579439,,0.85,6,,Niagara 
Grimsby Beach,Grimsby,3.93%,2.78%,3.31%,0,0,0.617924528,0.570841889,1.80244515,3706.00,2056.10,0,52,41,0,0,0,1,94,55.31914894,0,,1.33,5,,Niagara 
Park Road & Area,Grimsby,5.78%,4.04%,2.68%,0,0,0.908805031,0.829568789,5.42358162,6530.00,1204.00,2,73,48,0,2,0,1,126,57.93650794,1.587301587,,1.49,5,,Niagara 
